Año,Mundo (Inflacion)
2023,1.8040502160951633
2024,1.6383181863334926
2025,1.4725861565718787
2026,1.306854126810208
2027,1.1411220970485942
2028,0.9753900672869236
2029,0.8096580375253097
2030,0.6439260077636391
